,add_time,bubble,content,image_paths,image_urls,images,title,user_loc,username
0,2018年10月3日,10,"离市区很近，坐地铁就到了，交通方便,但是景点完全没有规划和一些景点大同小异，且非常脏乱买东西试吃，不买就翻脸，且晚不要去坐游船，贵的吓人，去这里不如去豫园，都是一个羕，不值一提的地方",[],[],[],不要去,加利福尼亚洛杉矶,ulyssese2016
1,2018年8月2日,30,"很古意的古镇,古老的街道及房子,虽古但流于商业化太多!
游街时买了超值好吃的麻花卷,选了家羊肉餐厅味道还不错,服务人员也很好,就是餐厅座位小,整洁度也不够!由于是过年到访,人多到走不动的地步,更别谈好好逛了.
建议平常日到访",[],[],[],特色古镇加特色小吃,,annwang666
2,2018年7月29日,40,全部凹凸不平的石板路，2018年7月底造访，挥汗如雨加上道路崎岖不平，厕所又少及脏，不敢多喝水，简直是对耐力的考验。厕所都没有卫生纸跟洗手液，强烈建议自行携带。商业化严重，虽身处古老街道，实难引发思古幽情，唯有乘坐手摇船，随船老大摇桨摆动穿梭运河，方有古今转换之感，不过挺贵，可坐单程，不必来回。,[],[],[],穿双好走的鞋，避开夏季,新北,Inspiration808101
3,2018年7月27日,40,江南水乡，终于可以一到古镇游览，虽然已经9点几到埗，但都好多人。不过漫步呢个景点好似穿越左返古代咁。重点系个到有间Starbucks，劲靓！不过建议早点到，避开人群。,[],[],[],古色古乡的小镇,香港,kacheung521
4,2018年6月6日,50,朱家角是一个古镇，商业化气息还算可以，好吃的东西好多，特别喜欢那里的粽子，扎肉，鸡汤豆腐脑，好吃的东西都在小巷子里面，便宜又好吃。人蛮多的，挺舒服,[],[],[],游玩的好去处,安徽省合肥市,你的香蕉皮
5,2018年3月31日,40,"很喜欢这里的水乡风情，推介坐游船游览，坐在艇上看看两岸风景很舒泰。
本来想给五星的，但这里商业味太重了，所以扣了一粒。",[],[],[],值得来,,PhiliaLipia
6,2018年3月19日,40,这是离上海比较近的古镇，很有江南的特色。建议在下午4点钟后去，那时候大量的旅行团都已经撤离，你可以看到安静下来的 古镇更加美好。有很多吃吃喝喝的地方，住的民宿也很多，如果时间允许你可以在那里住一晚，清早的朱家角也非常美丽,[],[],[],江南古镇特色,,huangjie
7,2018年1月31日,40,"大世界站3号出口普安路搭乘沪朱高速快线 1小时到达, 但要留意是高速快线, 否则其他班次会中途停站车程长很多,  最好早上九点到达, 及避开周末挤满游人, 门票 30元 包含 4个景点(大清邮局、课直园、艺术馆、药铺), 但建议只看风景不用购票",[],[],[],"最好早上九点到达, 及避开周末",,Ricky_HK
8,2018年1月16日,40,"--朱家角俗称“角里”，隶属于上海市青浦区，是离上海最近的江南水乡古镇。
--镇内小桥流水，古意盎然，展现出江南水乡的缩影。
--在朱家角最出名的地方是放生桥，建于明万历年间，是上海地区最大的壹座五孔联拱石桥。
--另外，北大街有很多特色小吃店，正所谓“长街三里，店铺千家”。",[],[],[],江南古镇,上海市,pennypyffei
9,2018年1月15日,40,"由从市区乘坐沪朱专线巴士45分钟的直通巴士前来朱家角古镇，本身是不需要门票的,但是个别景点是要买票的,有60人民币/80人民币/套票可以选择,大约3小时可以行完整个古镇,
具有古镇风情值得一去",[],[],[],古镇风情值得一去,,nwfb781
10,2018年1月6日,50,第一次到上海旅游，除了必到迪士尼乐园，想找一个近郊一点的观光景点，朋友推介周庄及朱家角，我们最后选了近一点的朱家角。我们包车从浦东的酒店前往，当中有少许塞车，用了75分钟左右到达。进场后，已见中间的小河，有船家撑著舢舨带着游客观光，河道两旁是一所一所的小商店，单是入口的景致，已经拍了很多相片。小商店售买各式各样的特色食品、工艺品，小巷又有简陋摊贩在售买热腾腾的饺子汤，风味一流。沿着河道，可以利用小桥穿插岸的两旁。中午过后，游客渐多，弄巷里挤满人潮，但都不忘买点小食，坐在河边叹咖啡及赏风景，日落过后，我们才离开。,[],[],[],江南景致,,claray108
11,2017年12月31日,50,从市区乘坐45分钟的直通巴士前来朱家角古镇，远离烦嚣，却又不失热闹。感受小桥流水间的夕阳，街道两旁尽是小酒家，小吃店，卖小玩意的店子和酒坊。,[],[],[],值得一看的古镇,香港,tiffany6666
12,2017年11月13日,50,"朱家角古镇位于上海的青浦区，距离上海的市区50公里。工作日下午附近拜访完客户，过来兜兜转转。门口有专门的停车场，20元可以畅停。朱家角古镇是不需要门票的，里面壹些景点是要买票的。古镇不是特别的大，大概1个小时左右就可游玩完毕。在古镇上可以看见各种美食，扎肉，糖藕，蹄髈，糕点等等，沿湖有很多餐馆，和装修有特色的咖啡馆茶馆，可以坐下来喝上壹杯。
摇船游览有分为80元半程和150元全程，每船最多可做6人。沿街走走逛逛享受慢生活，人生就该如此简单惬意。",[],[],[],朱家角古镇位于上海的青浦区，距离上海的市区50公里,香港,fish615
13,2017年11月10日,40,朱家角是一个古镇，但有些地方还是有点商业化，好吃的东西好多，特别喜欢那里的粽子，便宜又好吃。旅游的地方就少不了人，人太多了，感觉少了点悠闲。,[],[],[],朱家角一游,上海市,liuxybestwish
14,2017年10月12日,40,小桥流水人家 江南风情水乡古镇 一边欣赏风景 沿路还许多店家可以品尝当地特色菜与小吃  逛累了回程可以搭游船欣赏风景,[],[],[],古镇,,Trek735336
15,2017年10月10日,50,这是上海存在的水乡古镇，保存完好的古代街道及维护后的商业街道，旅游商品品种很多，特别要提的是，很多上海特殊特色的小吃店。,[],[],[],家庭旅游的好地方,海南省海口市,hntlts
16,2017年7月29日,50,这是个典型的江南古镇风情，但交通不太方便，建议先乘地铁再转计程车。进去朱家角是不用门票的，但若果要到特定景点，要购买门票。特别推介乘搭小船观赏镇内的景色。,[],[],[],必去的景点,,V3488MCmichelleh
17,2017年7月2日,50,路途有些遥远，但是看到美丽的风景就觉得值得了，到处都古色古香，如果撇开拥挤的人潮，是可以晃上一整天的。巴士站出口有许多人力车，用话术要赚你的钱但是要记得进去朱家角是不用门票的，只有特定的景点才需要，所以要斟酌需求,[],[],[],美丽的古镇,,Janna413061
